timestamp,value
2025-10-28T00:33:20Z,97.6
2025-10-28T00:34:20Z,97.7
2025-10-28T00:35:20Z,50.0
2025-10-28T00:36:20Z,97.8
2025-10-28T00:37:20Z,97.8
2025-10-28T00:38:20Z,97.8
2025-10-28T00:42:20Z,97.4
2025-10-28T00:43:20Z,97.4
2025-10-28T00:44:20Z,97.4
2025-10-28T00:45:20Z,97.5
2025-10-28T00:46:20Z,97.5
2025-10-28T00:47:20Z,97.5
2025-10-28T00:48:20Z,97.5
2025-10-28T00:49:20Z,97.5
2025-10-28T00:50:20Z,97.4
2025-10-28T00:51:20Z,97.4
2025-10-28T00:52:20Z,97.4
2025-10-28T00:53:20Z,97.4
2025-10-28T00:54:20Z,97.3
2025-10-28T00:55:20Z,97.3
2025-10-28T00:56:20Z,97.3
2025-10-28T00:57:20Z,97.3
2025-10-28T00:58:20Z,97.3
2025-10-28T00:59:20Z,97.3
2025-10-28T01:00:20Z,97.3
2025-10-28T01:01:20Z,97.3
2025-10-28T01:02:20Z,97.3
2025-10-28T01:03:20Z,97.3
2025-10-28T01:04:20Z,97.3
2025-10-28T01:05:20Z,97.3
2025-10-28T01:06:20Z,97.2
2025-10-28T01:07:20Z,97.2
2025-10-28T01:08:20Z,97.2
2025-10-28T01:09:20Z,97.2
2025-10-28T01:10:20Z,97.2
2025-10-28T01:11:20Z,97.2
2025-10-28T01:12:20Z,97.2
2025-10-28T01:13:20Z,97.2
2025-10-28T01:14:20Z,50.0
2025-10-28T01:15:20Z,50.0
2025-10-28T01:16:20Z,97.4
2025-10-28T01:17:20Z,97.3
2025-10-28T01:18:20Z,97.2
2025-10-28T01:19:20Z,97.1
2025-10-28T01:20:20Z,97.0
2025-10-28T01:21:20Z,97.0
2025-10-28T01:22:20Z,97.0
2025-10-28T01:23:20Z,97.0
2025-10-28T01:24:20Z,97.0
2025-10-28T01:25:20Z,97.0
2025-10-28T01:26:20Z,96.8
2025-10-28T01:27:20Z,50.0
2025-10-28T01:28:20Z,96.8
2025-10-28T01:29:20Z,96.9
2025-10-28T01:30:20Z,96.7
2025-10-28T01:31:20Z,96.7
2025-10-28T01:32:20Z,96.8
2025-10-28T01:33:20Z,96.8
2025-10-28T01:34:20Z,96.7
2025-10-28T01:35:20Z,96.7
2025-10-28T01:36:20Z,96.7
2025-10-28T01:37:20Z,96.7
2025-10-28T01:38:20Z,96.7
2025-10-28T01:39:20Z,50.0
2025-10-28T01:40:20Z,96.8
2025-10-28T01:41:20Z,96.8
2025-10-28T01:42:20Z,50.0
2025-10-28T01:43:20Z,50.0
2025-10-28T01:44:20Z,96.8
2025-10-28T01:45:20Z,96.7
2025-10-28T01:46:20Z,96.8
2025-10-28T01:47:20Z,96.8
2025-10-28T01:48:20Z,96.8
2025-10-28T01:49:20Z,96.8
2025-10-28T01:50:20Z,96.8
2025-10-28T01:51:20Z,96.8
2025-10-28T01:52:20Z,96.8
2025-10-28T01:53:20Z,96.8
2025-10-28T01:54:20Z,96.7
2025-10-28T01:55:20Z,96.7
2025-10-28T01:56:20Z,96.8
2025-10-28T01:57:20Z,96.8
2025-10-28T01:58:20Z,96.8
2025-10-28T01:59:20Z,96.8
2025-10-28T02:00:20Z,96.8
2025-10-28T02:01:20Z,96.8
2025-10-28T02:02:20Z,96.8
2025-10-28T02:03:20Z,96.8
2025-10-28T02:04:20Z,96.8
2025-10-28T02:05:20Z,96.8
2025-10-28T02:06:20Z,96.8
2025-10-28T02:07:20Z,96.8
2025-10-28T02:08:20Z,96.8
2025-10-28T02:09:20Z,96.8
2025-10-28T02:10:20Z,96.8
2025-10-28T02:11:20Z,96.8
2025-10-28T02:12:20Z,96.9
2025-10-28T02:13:20Z,96.8
2025-10-28T02:14:20Z,96.9
2025-10-28T02:15:20Z,96.8
2025-10-28T02:16:20Z,96.8
2025-10-28T02:17:20Z,50.0
2025-10-28T02:18:20Z,97.0
2025-10-28T02:19:20Z,97.0
2025-10-28T02:20:20Z,97.0
2025-10-28T02:21:20Z,97.0
2025-10-28T02:22:20Z,96.9
2025-10-28T02:23:20Z,96.9
2025-10-28T02:24:20Z,97.0
2025-10-28T02:25:20Z,97.0
2025-10-28T02:26:20Z,97.0
2025-10-28T02:27:20Z,50.0
2025-10-28T02:28:20Z,97.2
2025-10-28T02:29:20Z,97.4
2025-10-28T02:30:20Z,97.5
2025-10-28T02:31:20Z,97.5
2025-10-28T02:32:20Z,97.6
2025-10-28T02:33:20Z,97.6
2025-10-28T02:34:20Z,50.0
2025-10-28T02:35:20Z,97.6
2025-10-28T02:36:20Z,97.5
2025-10-28T02:37:20Z,97.5
2025-10-28T02:38:20Z,97.4
2025-10-28T02:39:20Z,97.3
2025-10-28T02:40:20Z,97.3
2025-10-28T02:41:20Z,97.3
2025-10-28T02:42:20Z,97.3
2025-10-28T02:43:20Z,97.3
2025-10-28T02:44:20Z,50.0
2025-10-28T02:45:20Z,50.0
2025-10-28T02:46:20Z,97.5
2025-10-28T02:47:20Z,97.6
2025-10-28T02:48:20Z,97.6
2025-10-28T02:49:20Z,97.7
2025-10-28T02:50:20Z,97.7
2025-10-28T02:51:20Z,97.7
2025-10-28T02:52:20Z,97.6
2025-10-28T02:53:20Z,97.6
2025-10-28T02:54:20Z,97.7
2025-10-28T02:55:20Z,97.7
2025-10-28T02:56:20Z,97.7
2025-10-28T02:57:20Z,97.7
2025-10-28T02:58:20Z,50.0
2025-10-28T02:59:20Z,97.6
2025-10-28T03:00:20Z,97.4
2025-10-28T03:01:20Z,97.4
2025-10-28T03:02:20Z,50.0
2025-10-28T03:03:20Z,97.2
2025-10-28T03:04:20Z,97.2
2025-10-28T03:05:20Z,97.3
2025-10-28T03:06:20Z,50.0
2025-10-28T03:07:20Z,97.2
2025-10-28T03:08:20Z,97.1
2025-10-28T03:09:20Z,97.1
2025-10-28T03:10:20Z,50.0
2025-10-28T03:11:20Z,97.1
2025-10-28T03:12:20Z,97.2
2025-10-28T03:13:20Z,97.2
2025-10-28T03:14:20Z,97.2
2025-10-28T03:15:20Z,97.3
2025-10-28T03:16:20Z,97.3
2025-10-28T03:17:20Z,50.0
2025-10-28T03:18:20Z,97.3
